icon,row,col,outcome,grad_rate
0,0,0,Graduated,87.8
1,0,1,Graduated,87.8
2,0,2,Graduated,87.8
3,0,3,Graduated,87.8
4,0,4,Graduated,87.8
5,0,5,Graduated,87.8
6,0,6,Graduated,87.8
7,0,7,Graduated,87.8
8,0,8,Graduated,87.8
9,0,9,Graduated,87.8
10,1,0,Graduated,87.8
11,1,1,Graduated,87.8
12,1,2,Graduated,87.8
13,1,3,Graduated,87.8
14,1,4,Graduated,87.8
15,1,5,Graduated,87.8
16,1,6,Graduated,87.8
17,1,7,Graduated,87.8
18,1,8,Graduated,87.8
19,1,9,Graduated,87.8
20,2,0,Graduated,87.8
21,2,1,Graduated,87.8
22,2,2,Graduated,87.8
23,2,3,Graduated,87.8
24,2,4,Graduated,87.8
25,2,5,Graduated,87.8
26,2,6,Graduated,87.8
27,2,7,Graduated,87.8
28,2,8,Graduated,87.8
29,2,9,Graduated,87.8
30,3,0,Graduated,87.8
31,3,1,Graduated,87.8
32,3,2,Graduated,87.8
33,3,3,Graduated,87.8
34,3,4,Graduated,87.8
35,3,5,Graduated,87.8
36,3,6,Graduated,87.8
37,3,7,Graduated,87.8
38,3,8,Graduated,87.8
39,3,9,Graduated,87.8
40,4,0,Graduated,87.8
41,4,1,Graduated,87.8
42,4,2,Graduated,87.8
43,4,3,Graduated,87.8
44,4,4,Graduated,87.8
45,4,5,Graduated,87.8
46,4,6,Graduated,87.8
47,4,7,Graduated,87.8
48,4,8,Graduated,87.8
49,4,9,Graduated,87.8
50,5,0,Graduated,87.8
51,5,1,Graduated,87.8
52,5,2,Graduated,87.8
53,5,3,Graduated,87.8
54,5,4,Graduated,87.8
55,5,5,Graduated,87.8
56,5,6,Graduated,87.8
57,5,7,Graduated,87.8
58,5,8,Graduated,87.8
59,5,9,Graduated,87.8
60,6,0,Graduated,87.8
61,6,1,Graduated,87.8
62,6,2,Graduated,87.8
63,6,3,Graduated,87.8
64,6,4,Graduated,87.8
65,6,5,Graduated,87.8
66,6,6,Graduated,87.8
67,6,7,Graduated,87.8
68,6,8,Graduated,87.8
69,6,9,Graduated,87.8
70,7,0,Graduated,87.8
71,7,1,Graduated,87.8
72,7,2,Graduated,87.8
73,7,3,Graduated,87.8
74,7,4,Graduated,87.8
75,7,5,Graduated,87.8
76,7,6,Graduated,87.8
77,7,7,Graduated,87.8
78,7,8,Graduated,87.8
79,7,9,Graduated,87.8
80,8,0,Graduated,87.8
81,8,1,Graduated,87.8
82,8,2,Graduated,87.8
83,8,3,Graduated,87.8
84,8,4,Graduated,87.8
85,8,5,Graduated,87.8
86,8,6,Graduated,87.8
87,8,7,Graduated,87.8
88,8,8,Did not graduate,87.8
89,8,9,Did not graduate,87.8
90,9,0,Did not graduate,87.8
91,9,1,Did not graduate,87.8
92,9,2,Did not graduate,87.8
93,9,3,Did not graduate,87.8
94,9,4,Did not graduate,87.8
95,9,5,Did not graduate,87.8
96,9,6,Did not graduate,87.8
97,9,7,Did not graduate,87.8
98,9,8,Did not graduate,87.8
99,9,9,Did not graduate,87.8
