lea,lea_name,chronic_absent_pct,school_count
100,Brunswick County Schools,28.8,19
110,Buncombe County Schools,24.5,44
111,Asheville City Schools,25.9,9
120,Burke County Schools,18.7,25
130,Cabarrus County Schools,20.3,42
132,Kannapolis City Schools,28.6,8
140,Caldwell County Schools,25.9,22
150,Camden County Schools,15.3,5
160,Carteret County Public Schools,22.0,17
170,Caswell County Schools,40.1,6
180,Catawba County Schools,19.2,27
181,Hickory City Schools,26.2,9
182,Newton Conover City Schools,23.2,6
190,Chatham County Schools,20.2,20
200,Cherokee County Schools,33.9,12
210,Edenton-Chowan Schools,27.9,4
220,Clay County Schools,29.6,4
230,Cleveland County Schools,25.8,26
240,Columbus County Schools,35.5,13
241,Whiteville City Schools,23.1,4
250,Craven County Schools,22.4,26
260,Cumberland County Schools,31.6,83
270,Currituck County Schools,23.6,10
280,Dare County Schools,31.4,10
290,Davidson County Schools,14.0,34
291,Lexington City Schools,36.0,6
292,Thomasville City Schools,29.8,4
300,Davie County Schools,18.1,12
310,Duplin County Schools,23.5,13
320,Durham Public Schools,32.8,52
330,Edgecombe County Public Schools,36.4,14
340,Winston Salem / Forsyth County Schools,35.2,73
350,Franklin County Schools,27.9,16
360,Gaston County Schools,24.1,54
370,Gates County Schools,31.4,5
380,Graham County Schools,34.5,3
390,Granville County Schools,32.5,16
400,Greene County Schools,22.8,6
410,Guilford County Schools,28.6,117
420,Halifax County Schools,46.5,11
421,Roanoke Rapids City Schools,29.2,5
422,Weldon City Schools,35.3,4
430,Harnett County Schools,32.1,27
440,Haywood County Schools,17.8,14
450,Henderson County Schools,19.9,22
460,Hertford County Schools,46.1,7
470,Hoke County Schools,30.0,13
480,Hyde County Schools,25.4,2
490,Iredell-Statesville Schools,21.8,36
491,Mooresville Graded School District,19.7,7
500,Jackson County Public Schools,30.9,8
510,Johnston County Public Schools,22.6,46
520,Jones County Schools,26.9,5
530,Lee County Schools,20.5,14
540,Lenoir County Public Schools,29.3,16
550,Lincoln County Schools,21.8,21
560,Macon County Schools,23.3,11
570,Madison County Schools,31.2,6
580,Martin County Schools,33.1,9
590,McDowell County Schools,27.5,15
600,Charlotte-Mecklenburg Schools,24.7,177
610,Mitchell County Schools,20.0,7
620,Montgomery County Schools,27.5,10
630,Moore County Schools,19.5,22
640,Nash County Public Schools,28.2,29
650,New Hanover County Schools,23.1,38
660,Northampton County Schools,48.9,6
670,Onslow County Schools,24.5,40
680,Orange County Schools,23.2,12
681,Chapel Hill-Carrboro City Schools,18.9,19
690,Pamlico County Schools,29.8,4
700,Elizabeth City-Pasquotank Public Schools,28.2,12
710,Pender County Schools,24.6,18
720,Perquimans County Schools,22.6,4
730,Person County Schools,21.6,12
740,Pitt County Schools,24.3,38
750,Polk County Schools,24.9,7
760,Randolph County School System,24.6,32
761,Asheboro City Schools,24.4,8
770,Richmond County Schools,27.2,14
780,Public Schools of Robeson County,39.6,36
790,Rockingham County Schools,33.4,21
800,Rowan-Salisbury Schools,31.5,32
810,Rutherford County Schools,34.2,17
820,Sampson County Schools,28.3,18
821,Clinton City Schools,26.1,5
830,Scotland County Schools,30.8,9
840,Stanly County Schools,20.6,22
850,Stokes County Schools,22.0,18
860,Surry County Schools,19.1,20
861,Elkin City Schools,14.0,4
862,Mount Airy City Schools,21.9,4
870,Swain County Schools,41.6,4
880,Transylvania County Schools,26.0,8
890,Tyrrell County Schools,33.9,3
900,Union County Public Schools,19.1,50
910,Vance County Schools,36.4,15
920,Wake County Schools,21.1,191
930,Warren County Schools,43.7,7
940,Washington County Schools,35.8,5
950,Watauga County Schools,18.6,11
960,Wayne County Public Schools,35.2,31
970,Wilkes County Schools,20.5,22
980,Wilson County Schools,22.5,24
990,Yadkin County Schools,25.8,13
995,Yancey County Schools,29.9,7
