lea,proficiency_glp
10,43.2
20,58.0
30,48.0
40,40.3
50,61.8
60,50.2
70,53.5
80,45.1
90,38.8
100,54.7
110,53.7
111,57.9
120,53.9
130,63.7
132,36.0
140,51.5
150,65.0
160,67.5
170,41.3
180,57.3
181,47.8
182,55.0
190,60.3
200,53.2
210,45.2
220,61.7
230,55.1
240,43.1
241,50.2
250,52.9
260,50.8
270,63.4
280,62.7
290,58.1
291,45.2
292,32.7
300,58.6
310,39.1
320,48.4
330,33.0
340,49.2
350,52.1
360,48.4
370,49.7
380,37.9
390,43.1
400,31.8
410,50.6
420,31.3
421,50.2
422,30.5
430,44.2
440,62.6
450,57.8
460,36.6
470,45.3
480,44.7
490,54.7
491,61.7
500,48.1
510,57.2
520,53.0
530,48.2
540,45.6
550,60.8
560,51.1
570,56.5
580,41.8
590,51.5
600,55.8
610,43.9
620,41.6
630,63.7
640,48.0
650,60.2
660,36.5
670,54.8
680,58.4
681,70.3
690,57.5
700,48.3
710,59.0
720,54.7
730,49.7
740,55.5
750,61.1
760,49.5
761,42.8
770,44.3
780,37.5
790,45.7
800,36.7
810,57.1
820,50.4
821,47.1
830,37.5
840,55.7
850,54.3
860,57.7
861,58.9
862,55.3
870,44.3
880,56.8
890,41.1
900,70.7
910,34.7
920,64.4
930,31.0
940,33.8
950,67.1
960,50.3
970,56.4
980,56.4
990,51.3
995,52.1
