region,year,measure,value
Northwest,2019,grad_rate,88.1
Northwest,2020,grad_rate,89.1
Northwest,2021,grad_rate,87.8
Northwest,2022,grad_rate,86.3
Northwest,2023,grad_rate,87.1
Northwest,2024,grad_rate,87.7
Northwest,2025,grad_rate,89.1
Northwest,2019,proficiency_glp,62.0
Northwest,2021,proficiency_glp,49.9
Northwest,2022,proficiency_glp,54.8
Northwest,2023,proficiency_glp,56.4
Northwest,2024,proficiency_glp,56.0
Northwest,2025,proficiency_glp,55.0
Western,2019,grad_rate,88.0
Western,2020,grad_rate,89.6
Western,2021,grad_rate,89.6
Western,2022,grad_rate,89.9
Western,2023,grad_rate,90.0
Western,2024,grad_rate,90.7
Western,2025,grad_rate,91.6
Western,2019,proficiency_glp,63.5
Western,2021,proficiency_glp,50.0
Western,2022,proficiency_glp,55.7
Western,2023,proficiency_glp,57.4
Western,2024,proficiency_glp,56.8
Western,2025,proficiency_glp,55.9
Southwest,2019,grad_rate,86.5
Southwest,2020,grad_rate,87.2
Southwest,2021,grad_rate,86.0
Southwest,2022,grad_rate,85.5
Southwest,2023,grad_rate,85.1
Southwest,2024,grad_rate,85.9
Southwest,2025,grad_rate,86.9
Southwest,2019,proficiency_glp,61.5
Southwest,2021,proficiency_glp,49.2
Southwest,2022,proficiency_glp,53.7
Southwest,2023,proficiency_glp,55.0
Southwest,2024,proficiency_glp,55.4
Southwest,2025,proficiency_glp,57.3
Piedmont Triad,2019,grad_rate,87.1
Piedmont Triad,2020,grad_rate,87.8
Piedmont Triad,2021,grad_rate,88.0
Piedmont Triad,2022,grad_rate,87.8
Piedmont Triad,2023,grad_rate,87.9
Piedmont Triad,2024,grad_rate,88.2
Piedmont Triad,2025,grad_rate,88.9
Piedmont Triad,2019,proficiency_glp,56.5
Piedmont Triad,2021,proficiency_glp,42.2
Piedmont Triad,2022,proficiency_glp,47.1
Piedmont Triad,2023,proficiency_glp,49.6
Piedmont Triad,2024,proficiency_glp,50.0
Piedmont Triad,2025,proficiency_glp,50.8
North Central,2019,grad_rate,87.4
North Central,2020,grad_rate,88.4
North Central,2021,grad_rate,88.2
North Central,2022,grad_rate,87.3
North Central,2023,grad_rate,87.6
North Central,2024,grad_rate,88.1
North Central,2025,grad_rate,88.2
North Central,2019,proficiency_glp,59.6
North Central,2021,proficiency_glp,46.6
North Central,2022,proficiency_glp,54.5
North Central,2023,proficiency_glp,56.9
North Central,2024,proficiency_glp,57.8
North Central,2025,proficiency_glp,58.6
Sandhills,2019,grad_rate,84.3
Sandhills,2020,grad_rate,86.5
Sandhills,2021,grad_rate,85.5
Sandhills,2022,grad_rate,84.7
Sandhills,2023,grad_rate,85.4
Sandhills,2024,grad_rate,85.1
Sandhills,2025,grad_rate,86.1
Sandhills,2019,proficiency_glp,52.9
Sandhills,2021,proficiency_glp,36.1
Sandhills,2022,proficiency_glp,44.8
Sandhills,2023,proficiency_glp,47.6
Sandhills,2024,proficiency_glp,48.3
Sandhills,2025,proficiency_glp,48.6
Southeast,2019,grad_rate,86.9
Southeast,2020,grad_rate,87.2
Southeast,2021,grad_rate,87.1
Southeast,2022,grad_rate,86.0
Southeast,2023,grad_rate,85.9
Southeast,2024,grad_rate,86.1
Southeast,2025,grad_rate,86.9
Southeast,2019,proficiency_glp,57.2
Southeast,2021,proficiency_glp,44.5
Southeast,2022,proficiency_glp,49.6
Southeast,2023,proficiency_glp,52.0
Southeast,2024,proficiency_glp,53.1
Southeast,2025,proficiency_glp,54.0
Northeast,2019,grad_rate,83.6
Northeast,2020,grad_rate,87.1
Northeast,2021,grad_rate,84.6
Northeast,2022,grad_rate,83.2
Northeast,2023,grad_rate,83.8
Northeast,2024,grad_rate,84.6
Northeast,2025,grad_rate,87.3
Northeast,2019,proficiency_glp,53.7
Northeast,2021,proficiency_glp,39.0
Northeast,2022,proficiency_glp,45.9
Northeast,2023,proficiency_glp,49.4
Northeast,2024,proficiency_glp,51.1
Northeast,2025,proficiency_glp,52.3
